,Experiment,Direction,Variables,# Objectives,Solution approach,Instance,# Variables,# Constraints,Objective value,Relative gap,Solve time (s),Error
55,4,Max,Continuous,2,N-O-1,1200-2400-1.lp,1200,2400,128782477.937599,0,125.36,
56,4,Max,Continuous,2,N-O-1,1200-2400-2.lp,1200,2400,128038339.951996,0,158.99,
57,4,Max,Continuous,2,N-O-1,1200-2400-3.lp,1200,2400,132560729.383273,0,137.98,
58,4,Max,Continuous,2,N-O-1,1200-2400-4.lp,1200,2400,122942767.652798,0,133.66,
59,4,Max,Continuous,2,N-O-1,1200-2400-5.lp,1200,2400,120692271.075602,0,244.67,
60,4,Max,Continuous,2,N-O-1,1600-800.0-1.lp,1600,800,1157368947.899346,0,33.83,
61,4,Max,Continuous,2,N-O-1,1600-800.0-2.lp,1600,800,1116597354.533505,0,55.7,
62,4,Max,Continuous,2,N-O-1,1600-800.0-3.lp,1600,800,1116382708.866786,0,33.22,
63,4,Max,Continuous,2,N-O-1,1600-800.0-4.lp,1600,800,1140353716.776494,0,46.69,
64,4,Max,Continuous,2,N-O-1,1600-800.0-5.lp,1600,800,1198189340.697252,0,88.89,
65,4,Max,Continuous,2,N-O-1,1600-1600-1.lp,1600,1600,458644507.478082,0,150.66,
66,4,Max,Continuous,2,N-O-1,1600-1600-2.lp,1600,1600,449318847.35322,0,267.8,
67,4,Max,Continuous,2,N-O-1,1600-1600-3.lp,1600,1600,468118845.686124,0,386.01,
68,4,Max,Continuous,2,N-O-1,1600-1600-4.lp,1600,1600,405531566.558061,0,200,
69,4,Max,Continuous,2,N-O-1,1600-1600-5.lp,1600,1600,426042945.336908,0,140.1,
70,4,Max,Continuous,2,N-O-1,1600-2400.0-1.lp,1600,2400,296073196.123904,0,629.69,
71,4,Max,Continuous,2,N-O-1,1600-2400.0-2.lp,1600,2400,345519630.623579,0,259.62,
72,4,Max,Continuous,2,N-O-1,1600-2400.0-3.lp,1600,2400,316910709.387676,0,217.94,
73,4,Max,Continuous,2,N-O-1,1600-2400.0-4.lp,1600,2400,309641366.245741,0,201.4,
74,4,Max,Continuous,2,N-O-1,1600-2400.0-5.lp,1600,2400,308425479.0111,0,106.92,
75,4,Max,Continuous,2,N-O-1,1600-3200-1.lp,1600,3200,206737889.333549,0,263.35,
76,4,Max,Continuous,2,N-O-1,1600-3200-2.lp,1600,3200,237100080.75174,0,687.64,
77,4,Max,Continuous,2,N-O-1,1600-3200-3.lp,1600,3200,237494795.246673,0,154.14,
78,4,Max,Continuous,2,N-O-1,1600-3200-4.lp,1600,3200,214004751.791197,0,255.31,
79,4,Max,Continuous,2,N-O-1,1600-3200-5.lp,1600,3200,245322926.666684,0,410.82,
80,4,Max,Continuous,2,N-O-1,2000-1000.0-1.lp,2000,1000,1633030505.986063,0,190.69,
81,4,Max,Continuous,2,N-O-1,2000-1000.0-2.lp,2000,1000,1543883969.045159,0,243.88,
82,4,Max,Continuous,2,N-O-1,2000-1000.0-3.lp,2000,1000,1526770440.707762,0,99.85,
83,4,Max,Continuous,2,N-O-1,2000-1000.0-4.lp,2000,1000,1664634933.209366,0,177,
84,4,Max,Continuous,2,N-O-1,2000-1000.0-5.lp,2000,1000,1653439183.705102,0,138.16,
85,4,Max,Continuous,2,N-O-1,2000-2000-1.lp,2000,2000,685896549.462461,0,377.74,
86,4,Max,Continuous,2,N-O-1,2000-2000-2.lp,2000,2000,744327432.804987,0,223.25,
87,4,Max,Continuous,2,N-O-1,2000-2000-3.lp,2000,2000,836878491.583754,0,324.51,
88,4,Max,Continuous,2,N-O-1,2000-2000-4.lp,2000,2000,662453003.423635,0,425.43,
89,4,Max,Continuous,2,N-O-1,2000-2000-5.lp,2000,2000,691677139.530993,0,488.3,
90,4,Max,Continuous,2,N-O-1,2000-3000.0-1.lp,2000,3000,522013049.341789,0,1209.99,
91,4,Max,Continuous,2,N-O-1,2000-3000.0-2.lp,2000,3000,471430697.357203,0,758.28,
92,4,Max,Continuous,2,N-O-1,2000-3000.0-3.lp,2000,3000,442372075.076878,0,393.81,
93,4,Max,Continuous,2,N-O-1,2000-3000.0-4.lp,2000,3000,473789874.603485,0,357.69,
94,4,Max,Continuous,2,N-O-1,2000-3000.0-5.lp,2000,3000,453967005.649382,0,593.18,
95,4,Max,Continuous,2,N-O-1,2000-4000-1.lp,2000,4000,392423660.309365,0,757.93,
96,4,Max,Continuous,2,N-O-1,2000-4000-2.lp,2000,4000,347081009.468485,0,1053,
97,4,Max,Continuous,2,N-O-1,2000-4000-3.lp,2000,4000,349460734.68024,0,632.05,
98,4,Max,Continuous,2,N-O-1,2000-4000-4.lp,2000,4000,351981780.922877,0,1323.66,
99,4,Max,Continuous,2,N-O-1,2000-4000-5.lp,2000,4000,342076970.057392,0,1170.11,
100,4,Max,Continuous,2,N-O-100,400-200.0-1.lp,400,200,83303343.684,0,4.54,
101,4,Max,Continuous,2,N-O-100,400-200.0-2.lp,400,200,101574101.05245,0,4.72,
102,4,Max,Continuous,2,N-O-100,400-200.0-3.lp,400,200,98434709.2685,0,3.78,
103,4,Max,Continuous,2,N-O-100,400-200.0-4.lp,400,200,93255816.826334,0,3.25,
104,4,Max,Continuous,2,N-O-100,400-200.0-5.lp,400,200,97289863.782,0,4.05,
105,4,Max,Continuous,2,N-O-100,400-400-1.lp,400,400,26244678.7008,0,5.87,
106,4,Max,Continuous,2,N-O-100,400-400-2.lp,400,400,27965040.6399,0,5.54,
107,4,Max,Continuous,2,N-O-100,400-400-3.lp,400,400,35379223.3093,0,7.8,
108,4,Max,Continuous,2,N-O-100,400-400-4.lp,400,400,34665395.891729,0,5.2,
109,4,Max,Continuous,2,N-O-100,400-400-5.lp,400,400,27782651.3888,0,8.22,
110,4,Max,Continuous,2,N-O-100,400-600.0-1.lp,400,600,14164455.1572,0,9.36,
111,4,Max,Continuous,2,N-O-100,400-600.0-2.lp,400,600,17125526.0592,0,10.52,
112,4,Max,Continuous,2,N-O-100,400-600.0-3.lp,400,600,15578982.0558,0,12.76,
113,4,Max,Continuous,2,N-O-100,400-600.0-4.lp,400,600,17892250.973,0,7.31,
114,4,Max,Continuous,2,N-O-100,400-600.0-5.lp,400,600,17946643.842241,0,8.18,
115,4,Max,Continuous,2,N-O-100,400-800-1.lp,400,800,10627958.243422,0,13.21,
116,4,Max,Continuous,2,N-O-100,400-800-2.lp,400,800,11332085.612628,0,15.54,
117,4,Max,Continuous,2,N-O-100,400-800-3.lp,400,800,12622484.7275,0,18.24,
118,4,Max,Continuous,2,N-O-100,400-800-4.lp,400,800,13323393.418052,0,12.11,
119,4,Max,Continuous,2,N-O-100,400-800-5.lp,400,800,12524476.0674,0,15.52,
120,4,Max,Continuous,2,N-O-100,800-400.0-1.lp,800,400,348836735.719683,0,15.91,
121,4,Max,Continuous,2,N-O-100,800-400.0-2.lp,800,400,329556555.749997,0,18.56,
122,4,Max,Continuous,2,N-O-100,800-400.0-3.lp,800,400,337113209.283034,0,12.32,
123,4,Max,Continuous,2,N-O-100,800-400.0-4.lp,800,400,347021876.894879,0,15.32,
124,4,Max,Continuous,2,N-O-100,800-400.0-5.lp,800,400,371226015.5748,0,18.28,
125,4,Max,Continuous,2,N-O-100,800-800-1.lp,800,800,138411879.443039,0,23.4,
126,4,Max,Continuous,2,N-O-100,800-800-2.lp,800,800,128657110.9826,0,35.36,
127,4,Max,Continuous,2,N-O-100,800-800-3.lp,800,800,118501587.57,0,13.63,
128,4,Max,Continuous,2,N-O-100,800-800-4.lp,800,800,124946638.717264,0,31.02,
129,4,Max,Continuous,2,N-O-100,800-800-5.lp,800,800,123963914.56086,0,19.55,
130,4,Max,Continuous,2,N-O-100,800-1200.0-1.lp,800,1200,89743362.661195,0,48.07,
131,4,Max,Continuous,2,N-O-100,800-1200.0-2.lp,800,1200,65203983.416787,0,35.19,
132,4,Max,Continuous,2,N-O-100,800-1200.0-3.lp,800,1200,74318291.526263,0,45.27,
133,4,Max,Continuous,2,N-O-100,800-1200.0-4.lp,800,1200,78183874.852121,0,56.45,
134,4,Max,Continuous,2,N-O-100,800-1200.0-5.lp,800,1200,88347231.482,0,42.59,
135,4,Max,Continuous,2,N-O-100,800-1600-1.lp,800,1600,51805045.331497,0,75.78,
136,4,Max,Continuous,2,N-O-100,800-1600-2.lp,800,1600,57044118.90399,0,69.37,
137,4,Max,Continuous,2,N-O-100,800-1600-3.lp,800,1600,57066190.767,0,47.01,
138,4,Max,Continuous,2,N-O-100,800-1600-4.lp,800,1600,54526853.961777,0,66.61,
139,4,Max,Continuous,2,N-O-100,800-1600-5.lp,800,1600,52782251.104,0,50.06,
140,4,Max,Continuous,2,N-O-100,1200-600.0-1.lp,1200,600,777360485.045876,0,251.83,
141,4,Max,Continuous,2,N-O-100,1200-600.0-2.lp,1200,600,699487528.999161,0,80.42,
142,4,Max,Continuous,2,N-O-100,1200-600.0-3.lp,1200,600,704533100.452319,0,48.13,
143,4,Max,Continuous,2,N-O-100,1200-600.0-4.lp,1200,600,646978728.704138,0,73.35,
144,4,Max,Continuous,2,N-O-100,1200-600.0-5.lp,1200,600,660690614.585644,0,150.12,
145,4,Max,Continuous,2,N-O-100,1200-1200-1.lp,1200,1200,311250265.2072,0,96.92,
146,4,Max,Continuous,2,N-O-100,1200-1200-2.lp,1200,1200,269386537.097063,0,75.09,
147,4,Max,Continuous,2,N-O-100,1200-1200-3.lp,1200,1200,287771371.726976,0,105.65,
148,4,Max,Continuous,2,N-O-100,1200-1200-4.lp,1200,1200,275858343.594976,0,81.87,
149,4,Max,Continuous,2,N-O-100,1200-1200-5.lp,1200,1200,261733795.038125,0,537.7,
150,4,Max,Continuous,2,N-O-100,1200-1800.0-1.lp,1200,1800,153099083.321,0,86.69,
151,4,Max,Continuous,2,N-O-100,1200-1800.0-2.lp,1200,1800,179659445.942581,0,92.97,
152,4,Max,Continuous,2,N-O-100,1200-1800.0-3.lp,1200,1800,187881975.809722,0,104.94,
153,4,Max,Continuous,2,N-O-100,1200-1800.0-4.lp,1200,1800,187593105.39526,0,198.15,
154,4,Max,Continuous,2,N-O-100,1200-1800.0-5.lp,1200,1800,172340544.212909,0,105.18,
155,4,Max,Continuous,2,N-O-100,1200-2400-1.lp,1200,2400,128782536.3442,0,216.64,
156,4,Max,Continuous,2,N-O-100,1200-2400-2.lp,1200,2400,128038350.062201,0,228.51,
157,4,Max,Continuous,2,N-O-100,1200-2400-3.lp,1200,2400,132560786.216216,0,151.92,
158,4,Max,Continuous,2,N-O-100,1200-2400-4.lp,1200,2400,122942965.577165,0,193.68,
159,4,Max,Continuous,2,N-O-100,1200-2400-5.lp,1200,2400,120692591.616,0,96.26,
160,4,Max,Continuous,2,N-O-100,1600-800.0-1.lp,1600,800,1157369149.2,0,87.49,
161,4,Max,Continuous,2,N-O-100,1600-800.0-2.lp,1600,800,1116597771.769979,0,395.21,
162,4,Max,Continuous,2,N-O-100,1600-800.0-3.lp,1600,800,1116382739.340266,0,99.23,
163,4,Max,Continuous,2,N-O-100,1600-800.0-4.lp,1600,800,1140353834.539501,0,79.58,
164,4,Max,Continuous,2,N-O-100,1600-800.0-5.lp,1600,800,1198189465.94055,0,105.34,
165,4,Max,Continuous,2,N-O-100,1600-1600-1.lp,1600,1600,458644705.461544,0,149.21,
166,4,Max,Continuous,2,N-O-100,1600-1600-2.lp,1600,1600,449319206.0052,0,197.17,
167,4,Max,Continuous,2,N-O-100,1600-1600-3.lp,1600,1600,468119069.919097,0,452.52,
